libid	batch	phylum	countgroup	taxon	taxid	sample_number	locality_number	sample_provider	n_specimens	reads_avg_seq	reads_max_seq	reads_median_seq	reads_min_seq	reads_N_50	reads_total_n	reads_total_seq	perc_reads_human	bag	n_contigs	largest_contig	total_length	GC_perc	N50	N75	L50	L75	busco_lineage	busco_perc_C	busco_perc_S	busco_perc_D	busco_perc_F	busco_perc_M	busco_set_size	mode_cov_dist	mapped_bases	genome_size_est	co1_length	co1_Superkingdom	co1_Kingdom	co1_Phylum	co1_Class	co1_Order	co1_Genus	co1_Species	lineage
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675		Görlitz		144.89	150	150	50	150	70249795	10178232188	0.1	bag2	165933	203684	314863068	33.83	2860	1326	24754	65694	arthropoda_odb10	62	58.7	3.3	21.4	16.6	1013				684	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Entomobrya	Entomobrya clitellaria	Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_6	b9	Arthropoda	Isopoda	Oniscus asellus	96861	Gr-Myr-00682		Görlitz		145.71	150	150	50	150	71852925	10469402486	2.07	bag3	170371	27221	137281788	35.83	773	596	55985	107120	arthropoda_odb10	2.2	2	0.2	6.4	91.4	1013				671	Eukaryota	Metazoa	Arthropoda	Malacostraca	Isopoda	Paracerceis	Paracerceis caudata	Oniscus;Oniscidae;Crinocheta;Oniscidea;Isopoda;Peracarida;Eumalacostraca;Malacostraca;Multicrustacea;Crustacea;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_61	b9	Arthropoda	Collembola	Protaphorura quadriocellata	187683	Gr-Col-00665		Görlitz		147.65	150	150	50	150	70610404	10425674980	0.1	bag1	17313	123117	92786013	37.87	9935	4718	2410	5818	arthropoda_odb10	63.1	62.1	1	11.2	25.7	1013				651	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Protaphorura	Protaphorura armata	Onychiurinae;Onychiuridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
MI_48	b0	Arthropoda	Collembola	Folsomia penicula	266765	Metainvert_48		Görlitz		139.54	150	150	50	150	8000787	1116416527	0.34	bag2	58186	33253	117331710	39.64	2748	1538	12480	26742	arthropoda_odb10	65.8	65.7	0.1	17	17.2	1013	5	1048158785	209631757	653	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	Folsomia quadrioculata	Folsomia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_61	b9	Arthropoda	Collembola	Protaphorura quadriocellata	187683	Gr-Col-00665		Görlitz		147.65	150	150	50	150	70610404	10425674980	0.1	bag3	175372	123117	396719886	37.38	3815	1677	24413	64150	arthropoda_odb10	74	72.3	1.7	14	12	1013				651	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Protaphorura	Protaphorura armata	Onychiurinae;Onychiuridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_62	b9	Arthropoda	Collembola	Protaphorura armata	187684	Gr-Col-00666		Görlitz		147.97	150	150	50	150	69577380	10295295141	0.09	bag1	19012	149262	70068851	37.24	6098	2977	2732	6883	arthropoda_odb10	39.8	36.2	3.6	23.8	36.4	1013				682	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Protaphorura	Protaphorura sp. SA-2013	Protaphorura;Onychiurinae;Onychiuridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
MI_55	b0	Arthropoda	Collembola	Folsomia penicula	266765	Metainvert_55		Görlitz		122.28	150	137	50	150	9851738	1204675005	5.3	bag2	6769	15175	4200560	43.12	584	533	2842	4731	arthropoda_odb10	0.1	0.1	0	1	98.9	1013	1	431582602	431582602	682	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	Folsomia quadrioculata	Folsomia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_62	b9	Arthropoda	Collembola	Protaphorura armata	187684	Gr-Col-00666		Görlitz		147.97	150	150	50	150	69577380	10295295141	0.09	bag3	196083	149262	354110823	36.97	2656	1259	32035	81077	arthropoda_odb10	48.5	43.5	5	29.8	21.7	1013				682	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Protaphorura	Protaphorura sp. SA-2013	Protaphorura;Onychiurinae;Onychiuridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_64	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00668		Görlitz		147.81	150	150	50	150	69229418	10232837046	0.06	bag1	17283	181369	108497475	35.18	12919	5875	2217	5351	arthropoda_odb10	78.7	77.4	1.3	8.4	12.9	1013	34	4804932312	141321538.6	680	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Entomobrya	Entomobrya multifasciata	Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
MI_56	b0	Arthropoda	Collembola	Folsomia penicula	266765	Metainvert_56		Görlitz		128.92	150	150	50	150	13472687	1736887289	0.34	bag2	55023	53997	125546130	39.47	3381	1808	10813	23479	arthropoda_odb10	67.7	67.5	0.2	17.4	14.9	1013	6	1577195694	262865949	682	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	Folsomia quadrioculata	Folsomia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_64	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00668		Görlitz		147.81	150	150	50	150	69229418	10232837046	0.06	bag3	89956	187138	277108568	34.16	6591	2531	9738	26915	arthropoda_odb10	85	83.7	1.3	8.6	6.4	1013				680	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Entomobrya	Entomobrya multifasciata	Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_65	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00669		Görlitz		147.85	150	150	50	150	64205957	9492614888	0.11	bag1	19662	126889	90290285	37.2	8623	3997	2599	6481	arthropoda_odb10	75.6	74.1	1.5	10.9	13.5	1013				683	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Homidia	Homidia sinensis	Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_24	b3_b5	Arthropoda	Collembola	Ceratophysella denticulata	928250	Gr-Coll-00104		Görlitz		137.05	150	150	50	150	42683288	5849672042	15.53	bag2	56560	71175	184963726	39.98	6743	2883	7050	17611	arthropoda_odb10	78.3	77	1.3	11.6	10.1	1013	1	3116114737	3116114737	681	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Ceratophysella	Ceratophysella denticulata	Ceratophysella;Hypogastruridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_65	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00669		Görlitz		147.85	150	150	50	150	64205957	9492614888	0.11	bag3	129361	126889	302968122	35.79	4170	1731	16769	45474	arthropoda_odb10	80.8	78.9	1.9	11.9	7.3	1013				683	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Homidia	Homidia sinensis	Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_66	b9	Arthropoda	Collembola	Agrenia bidenticulata	1933610	Gr-Col-00670		Görlitz		147.12	150	150	50	150	73868048	10867339918	0.06	bag1	4654	412229	112694872	36.84	52491	26396	614	1363	arthropoda_odb10	87.9	86.9	1	2.5	9.6	1013				679	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Homidia	Homidia sp. 1 FZ-2014	Agrenia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_25	b3_b5	Arthropoda	Collembola	Isotomiella minor	370032	Gr-Coll-00113		Görlitz		137.14	150	150	50	150	21627596	2965916036	6.7	bag2	35974	79999	137611220	40.86	8266	3279	4223	10906	arthropoda_odb10	91.8	90.9	0.9	3.2	5	1013	1	2146647618	2146647618	680	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomiella	Isotomiella minor	Isotomiella;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_66	b9	Arthropoda	Collembola	Agrenia bidenticulata	1933610	Gr-Col-00670		Görlitz		147.12	150	150	50	150	73868048	10867339918	0.06	bag3	105256	412229	446462690	30.91	11076	3544	8218	26655	arthropoda_odb10	95	93.7	1.3	1.7	3.3	1013				679	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Homidia	Homidia sp. 1 FZ-2014	Agrenia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_69	b9	Arthropoda	Collembola	Isotomurus maculatus	36143	Gr-Col-00673		Görlitz		147.69	150	150	50	150	69956010	10331812910	0.04	bag1	15201	232738	72400349	40.21	9266	4020	1810	4823	arthropoda_odb10	67.3	66.7	0.6	12.6	20.1	1013				681	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomurus	Isotomurus cf. palustris MM-2005	Isotomurus;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_26	b3_b5	Arthropoda	Collembola	Isotomurus plumosus	1410395	Gr-Coll-00116		Görlitz		132.61	150	150	50	150	19915649	2641000989	10.95	bag2	66104	83885	109364214	38.41	2091	1206	14660	31943	arthropoda_odb10	59.3	59	0.3	21.8	18.9	1013	4	1776240837	444060209.3	673	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotoma	Isotoma viridis	Isotomurus;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_69	b9	Arthropoda	Collembola	Isotomurus maculatus	36143	Gr-Col-00673		Görlitz		147.69	150	150	50	150	69956010	10331812910	0.04	bag3	72008	232738	179463024	39.35	4763	1883	8281	23492	arthropoda_odb10	75.5	74.5	1	14	10.5	1013				681	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomurus	Isotomurus cf. palustris MM-2005	Isotomurus;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_7	b9	Arthropoda	Isopoda	Porcellio scaber	64697	Gr-Myr-00683		Görlitz		144.94	150	150	50	150	80433061	11658263777	4.73	bag1	26980	17937	54331303	34.69	2493	1578	7048	13865	arthropoda_odb10	8.9	8.6	0.3	14.1	77	1013				682	Eukaryota	Metazoa	Arthropoda	Malacostraca	Isopoda	Trachelipus	Trachelipus kytherensis	Porcellio;Porcellionidae;Crinocheta;Oniscidea;Isopoda;Peracarida;Eumalacostraca;Malacostraca;Multicrustacea;Crustacea;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_27	b3_b5	Arthropoda	Collembola	Mesaphorura macrochaeta	2651973	Gr-Coll-00122		Görlitz		125.23	150	139	50	150	3509763	439542487	17.05	bag2	301	4086	204830	56.06	630	550	116	204								2	28471746	14235873	237	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Eukaryota-undef	uncultured eukaryote	Mesaphorura;Stenaphorurinae;Tullbergiidae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_7	b9	Arthropoda	Isopoda	Porcellio scaber	64697	Gr-Myr-00683		Görlitz		144.94	150	150	50	150	80433061	11658263777	4.73	bag3	378578	43542	466182683	33.63	1411	907	100710	204421	arthropoda_odb10	12	11.7	0.3	20.5	67.5	1013				682	Eukaryota	Metazoa	Arthropoda	Malacostraca	Isopoda	Trachelipus	Trachelipus kytherensis	Porcellio;Porcellionidae;Crinocheta;Oniscidea;Isopoda;Peracarida;Eumalacostraca;Malacostraca;Multicrustacea;Crustacea;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_70	b9	Arthropoda	Collembola	Hypogastrura burkilli	1725397	Gr-Col-00674		Görlitz		146.83	150	150	50	150	72867816	10699194296	0.05	bag1	9905	249384	74219199	41.94	12747	6559	1472	3524	arthropoda_odb10	64.3	63.7	0.6	8.9	26.8	1013				682	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Hypogastrura	Hypogastrura burkilli	Hypogastrura;Hypogastruridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_28	b3_b5	Arthropoda	Collembola	Parisotoma notabilis	187682	Gr-Coll-00125		Görlitz		140.02	150	150	50	150	28927399	4050512143	1.08	bag2	107411	47248	182710377	44.06	2356	1210	20828	48096	arthropoda_odb10	60.8	57.3	3.5	22	17.2	1013	12	3790011686	315834307.2	679	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Mesaphorura	Mesaphorura macrochaeta	Parisotoma;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_70	b9	Arthropoda	Collembola	Hypogastrura burkilli	1725397	Gr-Col-00674		Görlitz		146.83	150	150	50	150	72867816	10699194296	0.05	bag3	79018	249384	219675636	40.8	5303	2214	9323	25510	arthropoda_odb10	77.4	76.3	1.1	10.8	11.8	1013				682	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Hypogastrura	Hypogastrura burkilli	Hypogastrura;Hypogastruridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675		Görlitz		144.89	150	150	50	150	70249795	10178232188	0.1	bag1	21821	203684	87258833	35.02	7508	3268	2221	6703	arthropoda_odb10	55.8	53.6	2.2	18.4	25.8	1013				684	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Entomobrya	Entomobrya clitellaria	Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_1	b3_b5	Arthropoda	Collembola	Isotoma viridis	187635	MetInv-E309		Görlitz		118.38	150	128	50	150	28206556	3338998397	0.5	bag2	75300	49800	198871241	32.43	4407	2022	12139	28948	arthropoda_odb10	67.5	67.1	0.4	17.3	15.2	1013				685	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotoma	Isotoma viridis	Isotoma;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675		Görlitz		144.89	150	150	50	150	70249795	10178232188	0.1	bag3	166202	203684	316194053	33.84	2873	1330	24702	65678	arthropoda_odb10	61.2	57.9	3.3	22.2	16.6	1013				684	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Entomobrya	Entomobrya clitellaria	Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_73	b9	Arthropoda	Chilopoda	Lithobius forficatus	7552	Gr-Myr-00701		Görlitz		146.1	150	150	50	150	71644796	10467040000	0.39	bag1	11706	21345	33690052	41.72	3910	2344	2824	5602	arthropoda_odb10	7.6	7.4	0.2	9.3	83.1	1013				661	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius forficatus	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_15	b3_b5	Arthropoda	Collembola	Heteromurus nitidus	254095	Gr-Coll-00111		Görlitz		128.69	150	150	50	150	42756270	5502115300	0.46	bag2	36243	303373	211418206	38.54	18662	6056	2339	7437	arthropoda_odb10	90.9	90.2	0.7	3.2	5.9	1013				671	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Heteromurus	Heteromurus nitidus	Heteromurus;Heteromurinae;Entomobryidae;Entomobryoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_73	b9	Arthropoda	Chilopoda	Lithobius forficatus	7552	Gr-Myr-00701		Görlitz		146.1	150	150	50	150	71644796	10467040000	0.39	bag3	513639	51518	691165233	40.14	1579	996	131554	270208	arthropoda_odb10	13.6	13.4	0.2	27.6	58.8	1013				661	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius forficatus	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_74	b9	Arthropoda	Chilopoda	Lithobius microps	1569488	Gr-Myr-00702		Görlitz		145.22	150	150	50	150	67114096	9746170191	0.86	bag1	7393	41194	17888092	41.24	3115	1899	1785	3629	arthropoda_odb10	6.8	6.7	0.1	7.3	85.9	1013				659	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius microps	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_16	b3_b5	Arthropoda	Collembola	Isotomurus unifasciatus	48718	Gr-Coll-00119		Görlitz		102.44	150	99	50	114	23219514	2378493068	3.04	bag2	90265	18371	126119791	38.91	1695	1031	22901	46802	arthropoda_odb10	38.5	38.4	0.1	32.6	28.9	1013				681	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomurus	Isotomurus palustris	Isotomurus;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_74	b9	Arthropoda	Chilopoda	Lithobius microps	1569488	Gr-Myr-00702		Görlitz		145.22	150	150	50	150	67114096	9746170191	0.86	bag3	527135	51930	630133638	39.78	1339	887	142782	288285	arthropoda_odb10	12.4	12.2	0.2	25.6	62	1013				659	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius microps	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_75	b9	Arthropoda	Chilopoda	Lithobius nodulipes	1255757	Gr-Myr-00703		Görlitz		145.99	150	150	50	150	65214388	9520373323	0.25	bag1	10866	31180	24718376	41.13	3347	1721	2224	4813	arthropoda_odb10	2.8	2.7	0.1	4.2	93	1013				683	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius nodulipes	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_17	b3_b5	Arthropoda	Collembola	Proisotoma minuta	301521	Gr-Coll-00128		Görlitz		125.91	150	150	50	150	23660902	2979039829	0.51	bag2	19548	188917	116726678	34.56	16170	5510	1731	4854	arthropoda_odb10	92.1	91.1	1	2.1	5.8	1013				675	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomidae-undef	Folsomia bisetosa	Proisotoma;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_75	b9	Arthropoda	Chilopoda	Lithobius nodulipes	1255757	Gr-Myr-00703		Görlitz		145.99	150	150	50	150	65214388	9520373323	0.25	bag3	554439	90812	562486264	39.43	1071	739	162224	320198	arthropoda_odb10	3.8	3.7	0.1	9.1	87.1	1013				683	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius nodulipes	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_76	b9	Arthropoda	Chilopoda	Lithobius agilis	1569484	Gr-Myr-00704		Görlitz		145.48	150	150	50	150	64558630	9391816266	0.2	bag1	9681	56142	24307423	41.33	3299	1955	2259	4659	arthropoda_odb10	5.7	5.4	0.3	6.2	88.1	1013				687	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius agilis	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_18	b3_b5	Arthropoda	Collembola	Protaphorura fimata	1519113	Gr-Coll-00131		Görlitz		131.12	150	150	50	150	32324995	4238471837	0.28	bag2	92269	30218	93173859	36.42	1068	744	27720	53973	arthropoda_odb10	10.8	10.8	0	30.7	58.5	1013				682	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Protaphorura	Protaphorura fimata	Protaphorura;Onychiurinae;Onychiuridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_76	b9	Arthropoda	Chilopoda	Lithobius agilis	1569484	Gr-Myr-00704		Görlitz		145.48	150	150	50	150	64558630	9391816266	0.2	bag3	570253	56142	727468934	39.23	1458	953	154564	309757	arthropoda_odb10	9.1	8.7	0.4	12.4	78.5	1013				687	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius agilis	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_77	b9	Arthropoda	Chilopoda	Lithobius erythrocephalus	1255753	Gr-Myr-00705		Görlitz		145.49	150	150	50	150	64648842	9405788411	0.74																												Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
