libid	batch	phylum	countgroup	taxon	taxid	sample_number	Reads avg. seq:	Reads max seq:	Reads median seq:	Reads min seq:	Reads N 50:	Reads total n:	Reads total seq:	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	bag	perc_reads_human	busco_lineage	Busco % C	Busco % S	Busco % D	Busco % F	Busco % M	Busco set size	mode_cov_dist	mapped_bases	genome_size_est	co1_Order	co1_Genus	co1_Species
a_61	b9	Arthropoda	Collembola	Protaphorura quadriocellata	187683	Gr-Col-00665	147.65	150	150	50	150	70610404	10425674980	17313	123117	92786013	37.87	9935	4718	2410	5818	bag1	0.1	arthropoda_odb10	63.1	62.1	1	11.2	25.7	1013				Poduromorpha	Protaphorura	Protaphorura armata
a_61	b9	Arthropoda	Collembola	Protaphorura quadriocellata	187683	Gr-Col-00665	147.65	150	150	50	150	70610404	10425674980	174513	123117	392824805	37.38	3782	1667	24345	63985	bag2	0.1	arthropoda_odb10	73.6	72.1	1.5	13.7	12.7	1013				Poduromorpha	Protaphorura	Protaphorura armata
a_61	b9	Arthropoda	Collembola	Protaphorura quadriocellata	187683	Gr-Col-00665	147.65	150	150	50	150	70610404	10425674980	175372	123117	396719886	37.38	3815	1677	24413	64150	bag3	0.1	arthropoda_odb10	74	72.3	1.7	14	12	1013				Poduromorpha	Protaphorura	Protaphorura armata
a_62	b9	Arthropoda	Collembola	Protaphorura armata	187684	Gr-Col-00666	147.97	150	150	50	150	69577380	10295295141	19012	149262	70068851	37.24	6098	2977	2732	6883	bag1	0.09	arthropoda_odb10	39.8	36.2	3.6	23.8	36.4	1013				Poduromorpha	Protaphorura	Protaphorura sp. SA-2013
a_62	b9	Arthropoda	Collembola	Protaphorura armata	187684	Gr-Col-00666	147.97	150	150	50	150	69577380	10295295141	191485	149262	346765916	36.77	2643	1266	31703	79685	bag2	0.09	arthropoda_odb10	46.7	41.8	4.9	30.2	23.1	1013				Poduromorpha	Protaphorura	Protaphorura sp. SA-2013
a_62	b9	Arthropoda	Collembola	Protaphorura armata	187684	Gr-Col-00666	147.97	150	150	50	150	69577380	10295295141	196083	149262	354110823	36.97	2656	1259	32035	81077	bag3	0.09	arthropoda_odb10	48.5	43.5	5	29.8	21.7	1013				Poduromorpha	Protaphorura	Protaphorura sp. SA-2013
a_64	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00668	147.81	150	150	50	150	69229418	10232837046	17283	181369	108497475	35.18	12919	5875	2217	5351	bag1	0.06	arthropoda_odb10	78.7	77.4	1.3	8.4	12.9	1013	34	4804932312	141321538.6	Entomobryomorpha	Entomobrya	Entomobrya multifasciata
a_64	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00668	147.81	150	150	50	150	69229418	10232837046	89519	187138	275245309	34.14	6558	2523	9725	26855	bag2	0.06	arthropoda_odb10	83.8	82.5	1.3	9	7.2	1013				Entomobryomorpha	Entomobrya	Entomobrya multifasciata
a_64	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00668	147.81	150	150	50	150	69229418	10232837046	89956	187138	277108568	34.16	6591	2531	9738	26915	bag3	0.06	arthropoda_odb10	85	83.7	1.3	8.6	6.4	1013				Entomobryomorpha	Entomobrya	Entomobrya multifasciata
a_65	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00669	147.85	150	150	50	150	64205957	9492614888	19662	126889	90290285	37.2	8623	3997	2599	6481	bag1	0.11	arthropoda_odb10	75.6	74.1	1.5	10.9	13.5	1013				Entomobryomorpha	Homidia	Homidia sinensis
a_65	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00669	147.85	150	150	50	150	64205957	9492614888	128363	126889	301025675	35.74	4160	1733	16728	45264	bag2	0.11	arthropoda_odb10	80.4	78.5	1.9	11.5	8.1	1013				Entomobryomorpha	Homidia	Homidia sinensis
a_65	b9	Arthropoda	Collembola	Collembola	30001	Gr-Col-00669	147.85	150	150	50	150	64205957	9492614888	129361	126889	302968122	35.79	4170	1731	16769	45474	bag3	0.11	arthropoda_odb10	80.8	78.9	1.9	11.9	7.3	1013				Entomobryomorpha	Homidia	Homidia sinensis
a_66	b9	Arthropoda	Collembola	Agrenia bidenticulata	1933610	Gr-Col-00670	147.12	150	150	50	150	73868048	10867339918	4654	412229	112694872	36.84	52491	26396	614	1363	bag1	0.06	arthropoda_odb10	87.9	86.9	1	2.5	9.6	1013				Entomobryomorpha	Homidia	Homidia sp. 1 FZ-2014
a_66	b9	Arthropoda	Collembola	Agrenia bidenticulata	1933610	Gr-Col-00670	147.12	150	150	50	150	73868048	10867339918	101706	412229	411396600	30.95	10359	3285	7763	26158	bag2	0.06	arthropoda_odb10	93.3	92.3	1	1.3	5.4	1013				Entomobryomorpha	Homidia	Homidia sp. 1 FZ-2014
a_66	b9	Arthropoda	Collembola	Agrenia bidenticulata	1933610	Gr-Col-00670	147.12	150	150	50	150	73868048	10867339918	105256	412229	446462690	30.91	11076	3544	8218	26655	bag3	0.06	arthropoda_odb10	95	93.7	1.3	1.7	3.3	1013				Entomobryomorpha	Homidia	Homidia sp. 1 FZ-2014
a_69	b9	Arthropoda	Collembola	Isotomurus maculatus	36143	Gr-Col-00673	147.69	150	150	50	150	69956010	10331812910	15201	232738	72400349	40.21	9266	4020	1810	4823	bag1	0.04	arthropoda_odb10	67.3	66.7	0.6	12.6	20.1	1013				Entomobryomorpha	Isotomurus	Isotomurus cf. palustris MM-2005
a_69	b9	Arthropoda	Collembola	Isotomurus maculatus	36143	Gr-Col-00673	147.69	150	150	50	150	69956010	10331812910	71490	232738	177476601	39.34	4727	1874	8269	23409	bag2	0.04	arthropoda_odb10	74.4	73.3	1.1	13.4	12.2	1013				Entomobryomorpha	Isotomurus	Isotomurus cf. palustris MM-2005
a_69	b9	Arthropoda	Collembola	Isotomurus maculatus	36143	Gr-Col-00673	147.69	150	150	50	150	69956010	10331812910	72008	232738	179463024	39.35	4763	1883	8281	23492	bag3	0.04	arthropoda_odb10	75.5	74.5	1	14	10.5	1013				Entomobryomorpha	Isotomurus	Isotomurus cf. palustris MM-2005
a_7	b9	Arthropoda	Isopoda	Porcellio scaber	64697	Gr-Myr-00683	144.94	150	150	50	150	80433061	11658263777	26980	17937	54331303	34.69	2493	1578	7048	13865	bag1	4.73	arthropoda_odb10	8.9	8.6	0.3	14.1	77	1013				Isopoda	Trachelipus	Trachelipus kytherensis
a_7	b9	Arthropoda	Isopoda	Porcellio scaber	64697	Gr-Myr-00683	144.94	150	150	50	150	80433061	11658263777	357982	19630	433158172	33.14	1377	890	95822	194304	bag2	4.73	arthropoda_odb10	8.4	8.1	0.3	11.8	79.8	1013				Isopoda	Trachelipus	Trachelipus kytherensis
a_7	b9	Arthropoda	Isopoda	Porcellio scaber	64697	Gr-Myr-00683	144.94	150	150	50	150	80433061	11658263777	378578	43542	466182683	33.63	1411	907	100710	204421	bag3	4.73	arthropoda_odb10	12	11.7	0.3	20.5	67.5	1013				Isopoda	Trachelipus	Trachelipus kytherensis
a_70	b9	Arthropoda	Collembola	Hypogastrura burkilli	1725397	Gr-Col-00674	146.83	150	150	50	150	72867816	10699194296	9905	249384	74219199	41.94	12747	6559	1472	3524	bag1	0.05	arthropoda_odb10	64.3	63.7	0.6	8.9	26.8	1013				Poduromorpha	Hypogastrura	Hypogastrura burkilli
a_70	b9	Arthropoda	Collembola	Hypogastrura burkilli	1725397	Gr-Col-00674	146.83	150	150	50	150	72867816	10699194296	77940	249384	216033958	40.79	5253	2202	9277	25316	bag2	0.05	arthropoda_odb10	75	73.9	1.1	11.3	13.7	1013				Poduromorpha	Hypogastrura	Hypogastrura burkilli
a_70	b9	Arthropoda	Collembola	Hypogastrura burkilli	1725397	Gr-Col-00674	146.83	150	150	50	150	72867816	10699194296	79018	249384	219675636	40.8	5303	2214	9323	25510	bag3	0.05	arthropoda_odb10	77.4	76.3	1.1	10.8	11.8	1013				Poduromorpha	Hypogastrura	Hypogastrura burkilli
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675	144.89	150	150	50	150	70249795	10178232188	21821	203684	87258833	35.02	7508	3268	2221	6703	bag1	0.1	arthropoda_odb10	55.8	53.6	2.2	18.4	25.8	1013				Entomobryomorpha	Entomobrya	Entomobrya clitellaria
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675	144.89	150	150	50	150	70249795	10178232188	165933	203684	314863068	33.83	2860	1326	24754	65694	bag2	0.1	arthropoda_odb10	62	58.7	3.3	21.4	16.6	1013				Entomobryomorpha	Entomobrya	Entomobrya clitellaria
a_71	b9	Arthropoda	Collembola	Isotoma decorata	57735	Gr-Col-00675	144.89	150	150	50	150	70249795	10178232188	166202	203684	316194053	33.84	2873	1330	24702	65678	bag3	0.1	arthropoda_odb10	61.2	57.9	3.3	22.2	16.6	1013				Entomobryomorpha	Entomobrya	Entomobrya clitellaria
a_73	b9	Arthropoda	Chilopoda	Lithobius forficatus	7552	Gr-Myr-00701	146.1	150	150	50	150	71644796	10467040000	11706	21345	33690052	41.72	3910	2344	2824	5602	bag1	0.39	arthropoda_odb10	7.6	7.4	0.2	9.3	83.1	1013				Lithobiomorpha	Lithobius	Lithobius forficatus
a_73	b9	Arthropoda	Chilopoda	Lithobius forficatus	7552	Gr-Myr-00701	146.1	150	150	50	150	71644796	10467040000	511088	34266	683924589	40.12	1568	992	131645	269593	bag2	0.39	arthropoda_odb10	13	12.8	0.2	30.9	56.1	1013				Lithobiomorpha	Lithobius	Lithobius forficatus
a_73	b9	Arthropoda	Chilopoda	Lithobius forficatus	7552	Gr-Myr-00701	146.1	150	150	50	150	71644796	10467040000	513639	51518	691165233	40.14	1579	996	131554	270208	bag3	0.39	arthropoda_odb10	13.6	13.4	0.2	27.6	58.8	1013				Lithobiomorpha	Lithobius	Lithobius forficatus
a_74	b9	Arthropoda	Chilopoda	Lithobius microps	1569488	Gr-Myr-00702	145.22	150	150	50	150	67114096	9746170191	7393	41194	17888092	41.24	3115	1899	1785	3629	bag1	0.86	arthropoda_odb10	6.8	6.7	0.1	7.3	85.9	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_74	b9	Arthropoda	Chilopoda	Lithobius microps	1569488	Gr-Myr-00702	145.22	150	150	50	150	67114096	9746170191	525464	51930	626140670	39.76	1333	886	142859	287845	bag2	0.86	arthropoda_odb10	11.8	11.6	0.2	26.6	61.6	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_74	b9	Arthropoda	Chilopoda	Lithobius microps	1569488	Gr-Myr-00702	145.22	150	150	50	150	67114096	9746170191	527135	51930	630133638	39.78	1339	887	142782	288285	bag3	0.86	arthropoda_odb10	12.4	12.2	0.2	25.6	62	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_75	b9	Arthropoda	Chilopoda	Lithobius nodulipes	1255757	Gr-Myr-00703	145.99	150	150	50	150	65214388	9520373323	10866	31180	24718376	41.13	3347	1721	2224	4813	bag1	0.25	arthropoda_odb10	2.8	2.7	0.1	4.2	93	1013				Lithobiomorpha	Lithobius	Lithobius nodulipes
a_75	b9	Arthropoda	Chilopoda	Lithobius nodulipes	1255757	Gr-Myr-00703	145.99	150	150	50	150	65214388	9520373323	552208	31180	557635395	39.41	1065	737	162469	319671	bag2	0.25	arthropoda_odb10	3.7	3.6	0.1	8.8	87.5	1013				Lithobiomorpha	Lithobius	Lithobius nodulipes
a_75	b9	Arthropoda	Chilopoda	Lithobius nodulipes	1255757	Gr-Myr-00703	145.99	150	150	50	150	65214388	9520373323	554439	90812	562486264	39.43	1071	739	162224	320198	bag3	0.25	arthropoda_odb10	3.8	3.7	0.1	9.1	87.1	1013				Lithobiomorpha	Lithobius	Lithobius nodulipes
a_76	b9	Arthropoda	Chilopoda	Lithobius agilis	1569484	Gr-Myr-00704	145.48	150	150	50	150	64558630	9391816266	9681	56142	24307423	41.33	3299	1955	2259	4659	bag1	0.2	arthropoda_odb10	5.7	5.4	0.3	6.2	88.1	1013				Lithobiomorpha	Lithobius	Lithobius agilis
a_76	b9	Arthropoda	Chilopoda	Lithobius agilis	1569484	Gr-Myr-00704	145.48	150	150	50	150	64558630	9391816266	567561	56142	720870342	39.18	1450	950	154464	308905	bag2	0.2	arthropoda_odb10	8.7	8.3	0.4	12.6	78.7	1013				Lithobiomorpha	Lithobius	Lithobius agilis
a_76	b9	Arthropoda	Chilopoda	Lithobius agilis	1569484	Gr-Myr-00704	145.48	150	150	50	150	64558630	9391816266	570253	56142	727468934	39.23	1458	953	154564	309757	bag3	0.2	arthropoda_odb10	9.1	8.7	0.4	12.4	78.5	1013				Lithobiomorpha	Lithobius	Lithobius agilis
a_77	b9	Arthropoda	Chilopoda	Lithobius erythrocephalus	1255753	Gr-Myr-00705	145.49	150	150	50	150	64648842	9405788411										0.74													
a_78	b9	Arthropoda	Chilopoda	Lithobius melanops	1255755	Gr-Myr-00706	143.39	150	150	50	150	71838768	10301020043										0.51													
a_8	b9	Arthropoda	Isopoda	Trichoniscus pusillus aggr.	33330	Gr-Myr-00684	146.9	150	150	50	150	69009824	10137632860	11830	21120	17056064	35.24	1667	1076	3066	6273	bag1	1.88	arthropoda_odb10	2.7	2.7	0	8.7	88.6	1013				Isopoda	Trichoniscus	Trichoniscus pusillus
a_8	b9	Arthropoda	Isopoda	Trichoniscus pusillus aggr.	33330	Gr-Myr-00684	146.9	150	150	50	150	69009824	10137632860	221219	21120	197474040	31.64	910	654	69546	134033	bag2	1.88	arthropoda_odb10	3.2	3.2	0	11.5	85.3	1013				Isopoda	Trichoniscus	Trichoniscus pusillus
a_8	b9	Arthropoda	Isopoda	Trichoniscus pusillus aggr.	33330	Gr-Myr-00684	146.9	150	150	50	150	69009824	10137632860	233040	404122	220875458	34.41	959	670	67120	136587	bag3	1.88	arthropoda_odb10	5.4	4.8	0.6	3.8	90.8	1013				Isopoda	Trichoniscus	Trichoniscus pusillus
a_80	b9	Arthropoda	Chilopoda	Lithobius crassipesoides	2015377	Gr-Myr-00708	144.37	150	150	50	150	69099023	9975984382	7096	22820	15556521	42.14	2932	1642	1540	3312	bag1	0.51	arthropoda_odb10	2.6	2.6	0	6.9	90.5	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_80	b9	Arthropoda	Chilopoda	Lithobius crassipesoides	2015377	Gr-Myr-00708	144.37	150	150	50	150	69099023	9975984382	429524	33600	486415499	39.34	1241	850	121589	240728	bag2	0.51	arthropoda_odb10	3.9	3.9	0	12.4	83.7	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_80	b9	Arthropoda	Chilopoda	Lithobius crassipesoides	2015377	Gr-Myr-00708	144.37	150	150	50	150	69099023	9975984382	430939	58123	489857577	39.38	1246	852	121473	241080	bag3	0.51	arthropoda_odb10	3.9	3.8	0.1	11.8	84.3	1013				Lithobiomorpha	Lithobius	Lithobius microps
a_81	b9	Arthropoda	Chilopoda	Lithobius crassipes	1147027	Gr-Myr-00709	143.86	150	150	50	150	69932822	10060220873	8268	27281	24348760	41.46	3898	2389	2035	4024	bag1	0.37	arthropoda_odb10	6.5	6.3	0.2	8.9	84.6	1013				Lithobiomorpha	Lithobius	Lithobius crassipes
a_81	b9	Arthropoda	Chilopoda	Lithobius crassipes	1147027	Gr-Myr-00709	143.86	150	150	50	150	69932822	10060220873	406080	38019	582835778	39.8	1706	1061	101932	211184	bag2	0.37	arthropoda_odb10	13.4	13.2	0.2	30.8	55.8	1013				Lithobiomorpha	Lithobius	Lithobius crassipes
a_81	b9	Arthropoda	Chilopoda	Lithobius crassipes	1147027	Gr-Myr-00709	143.86	150	150	50	150	69932822	10060220873	407482	38019	586862237	39.82	1714	1064	101938	211560	bag3	0.37	arthropoda_odb10	13.9	13.6	0.3	30.7	55.4	1013				Lithobiomorpha	Lithobius	Lithobius crassipes
a_82	b9	Arthropoda	Chilopoda	Lithobius muticus	1569489	Gr-Myr-00710	146.45	150	150	50	150	67358522	9864970136										0.64													
a_83	b9	Arthropoda	Chilopoda	Stenotaenia linearis	1569481	Gr-Myr-00711	146.61	150	150	50	150	69013805	10118248386	6607	292767	60345936	35.75	23791	8905	596	1647	bag1	1.13	arthropoda_odb10	64.5	63.3	1.2	6	29.5	1013				Geophilomorpha	Stenotaenia	Stenotaenia linearis
a_83	b9	Arthropoda	Chilopoda	Stenotaenia linearis	1569481	Gr-Myr-00711	146.61	150	150	50	150	69013805	10118248386	44530	292767	158457551	35.56	8434	3071	3637	11641	bag2	1.13	arthropoda_odb10	83.3	81.4	1.9	7.3	9.4	1013				Geophilomorpha	Stenotaenia	Stenotaenia linearis
a_83	b9	Arthropoda	Chilopoda	Stenotaenia linearis	1569481	Gr-Myr-00711	146.61	150	150	50	150	69013805	10118248386	57094	292767	174864617	37.3	7546	2541	4348	14573	bag3	1.13	arthropoda_odb10	87.7	85.4	2.3	7.6	4.7	1013				Geophilomorpha	Stenotaenia	Stenotaenia linearis
a_84	b9	Arthropoda	Chilopoda	Geophilus carpophagus	173285	Gr-Myr-00712	147.18	150	150	50	150	72867221	10724694871	6373	194160	58603855	31.86	17232	8322	909	2133	bag1	0.28	arthropoda_odb10	69.1	67.5	1.6	4	26.9	1013				Geophilomorpha	Schendylidae-undef	Geophilus carpophagus
a_84	b9	Arthropoda	Chilopoda	Geophilus carpophagus	173285	Gr-Myr-00712	147.18	150	150	50	150	72867221	10724694871	41003	194160	155172134	31.69	8146	3324	4329	11901	bag2	0.28	arthropoda_odb10	89.4	86.5	2.9	4.1	6.5	1013				Geophilomorpha	Schendylidae-undef	Geophilus carpophagus
a_84	b9	Arthropoda	Chilopoda	Geophilus carpophagus	173285	Gr-Myr-00712	147.18	150	150	50	150	72867221	10724694871	41644	194160	159645602	31.71	8284	3385	4380	12034	bag3	0.28	arthropoda_odb10	93.3	90.2	3.1	4.1	2.6	1013				Geophilomorpha	Schendylidae-undef	Geophilus carpophagus
a_86	b9	Arthropoda	Diplopoda	Kryphioiulus occultus	1008825	Gr-Myr-00714	144.42	150	150	50	150	72748115	10506390772	4510	199451	73337677	38.48	30553	15718	702	1535	bag1	0.55	arthropoda_odb10	50.6	50.3	0.3	4	45.4	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_86	b9	Arthropoda	Diplopoda	Kryphioiulus occultus	1008825	Gr-Myr-00714	144.42	150	150	50	150	72748115	10506390772	30200	199451	246684850	37.66	18693	8115	3430	8448	bag2	0.55	arthropoda_odb10	81.9	81.5	0.4	8	10.1	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_86	b9	Arthropoda	Diplopoda	Kryphioiulus occultus	1008825	Gr-Myr-00714	144.42	150	150	50	150	72748115	10506390772	31034	199451	254095937	37.71	18996	8228	3503	8603	bag3	0.55	arthropoda_odb10	86.4	85.9	0.5	8.3	5.3	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_87	b9	Arthropoda	Diplopoda	Choneiulus palmatus	1008849	Gr-Myr-00715	147.28	150	150	50	150	70342309	10360213748	7722	25382	27923321	36.71	4981	2994	1815	3617	bag1	0.26	arthropoda_odb10	10.3	10.3	0	17.9	71.8	1013				Julida	Choneiulus	Choneiulus palmatus
a_87	b9	Arthropoda	Diplopoda	Choneiulus palmatus	1008849	Gr-Myr-00715	147.28	150	150	50	150	70342309	10360213748	165599	25472	329516679	33.52	2530	1473	38236	81277	bag2	0.26	arthropoda_odb10	26.7	26.6	0.1	39.6	33.7	1013				Julida	Choneiulus	Choneiulus palmatus
a_87	b9	Arthropoda	Diplopoda	Choneiulus palmatus	1008849	Gr-Myr-00715	147.28	150	150	50	150	70342309	10360213748	182628	50938	349572331	34.9	2463	1420	41326	88459	bag3	0.26	arthropoda_odb10	28.9	28.4	0.5	37.6	33.5	1013				Julida	Choneiulus	Choneiulus palmatus
a_9	b9	Arthropoda	Isopoda	Porcellio spinicornis	172005	Gr-Myr-00685	146.18	150	150	50	150	69127192	10104977358	13778	37129	15678690	35.44	1218	800	3524	7531	bag1	1.92	arthropoda_odb10	0.2	0.1	0.1	0.3	99.5	1013				Isopoda	Porcellio	Porcellio spinicornis
a_9	b9	Arthropoda	Isopoda	Porcellio spinicornis	172005	Gr-Myr-00685	146.18	150	150	50	150	69127192	10104977358	176237	37129	144928411	33.34	814	619	59155	110629	bag2	1.92	arthropoda_odb10	0.2	0.1	0.1	0.4	99.4	1013				Isopoda	Porcellio	Porcellio spinicornis
a_9	b9	Arthropoda	Isopoda	Porcellio spinicornis	172005	Gr-Myr-00685	146.18	150	150	50	150	69127192	10104977358	183462	332220	153933802	33.98	827	623	59844	113978	bag3	1.92	arthropoda_odb10	1.1	0.9	0.2	2	96.9	1013				Isopoda	Porcellio	Porcellio spinicornis
a_90	b9	Arthropoda	Diplopoda	Brachyiulus pusillus	1008843	Gr-Myr-00718	145.64	150	150	50	150	80684071	11750938767										0.32													
a_91	b9	Arthropoda	Diplopoda	Rossiulus vilnensis		Gr-Myr-00719	145.97	150	150	50	150	77848738	11363779880	4802	127272	74762284	38.47	26648	14951	875	1802	bag1	0.25	arthropoda_odb10	53.4	53.1	0.3	4.5	42.1	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_91	b9	Arthropoda	Diplopoda	Rossiulus vilnensis		Gr-Myr-00719	145.97	150	150	50	150	77848738	11363779880	27062	129385	234652535	37.43	18555	9069	3578	8057	bag2	0.25	arthropoda_odb10	83.1	82.8	0.3	5.8	11.1	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_91	b9	Arthropoda	Diplopoda	Rossiulus vilnensis		Gr-Myr-00719	145.97	150	150	50	150	77848738	11363779880	27572	129385	241937306	37.48	18764	9188	3654	8221	bag3	0.25	arthropoda_odb10	88.8	88.5	0.3	5.9	5.3	1013				Julida	Brachyiulus	Brachyiulus pusillus
a_92	b9	Arthropoda	Diplopoda	Ophyiulus pilosus	118470	Gr-Myr-00720	146.01	150	150	50	150	72235725	10547444202	7170	453707	72756322	37.95	26700	8894	531	1776	bag1	0.39	arthropoda_odb10	48.4	48	0.4	8.8	42.8	1013				Julida	Ophyiulus	Ophyiulus pilosus
a_92	b9	Arthropoda	Diplopoda	Ophyiulus pilosus	118470	Gr-Myr-00720	146.01	150	150	50	150	72235725	10547444202	64911	525970	230247290	37.54	7764	2916	5331	17823	bag2	0.39	arthropoda_odb10	71.6	71.2	0.4	13.7	14.7	1013				Julida	Ophyiulus	Ophyiulus pilosus
a_92	b9	Arthropoda	Diplopoda	Ophyiulus pilosus	118470	Gr-Myr-00720	146.01	150	150	50	150	72235725	10547444202	66245	525970	243463560	37.51	8360	3043	5107	17588	bag3	0.39	arthropoda_odb10	75.8	75.3	0.5	14.1	10.1	1013				Julida	Ophyiulus	Ophyiulus pilosus
a_93	b9	Arthropoda	Diplopoda	Julus scanicus	541046	Gr-Myr-00721	147.3	150	150	50	150	74115056	10917405882	7462	205375	82338588	37.88	20230	10295	1164	2590	bag1	0.54	arthropoda_odb10	54.5	54.2	0.3	3.7	41.8	1013				Julida	Julus	Julus scandinavius
a_93	b9	Arthropoda	Diplopoda	Julus scanicus	541046	Gr-Myr-00721	147.3	150	150	50	150	74115056	10917405882	48387	205375	275481723	36.73	12251	5524	5755	14160	bag2	0.54	arthropoda_odb10	86.6	86.3	0.3	4.2	9.2	1013				Julida	Julus	Julus scandinavius
a_93	b9	Arthropoda	Diplopoda	Julus scanicus	541046	Gr-Myr-00721	147.3	150	150	50	150	74115056	10917405882	49485	205375	287188225	36.77	12555	5668	5881	14450	bag3	0.54	arthropoda_odb10	91.9	91.3	0.6	4.1	4	1013				Julida	Julus	Julus scandinavius
a_94	b9	Arthropoda	Diplopoda	Glomeris klugii	1766073	Gr-Myr-00722	144.6	150	150	50	150	75957788	10983667891										0.22													
a_95	b9	Arthropoda	Diplopoda	Melogona voigti	1147011	Gr-Myr-00723	141.89	150	150	50	150	72310948	10260165327	5157	66304	40266412	41.19	11174	6883	1149	2286	bag1	0.53	arthropoda_odb10	26.1	25.7	0.4	8.4	65.5	1013				Chordeumatida	Melogona	Melogona broelemanni
a_95	b9	Arthropoda	Diplopoda	Melogona voigti	1147011	Gr-Myr-00723	141.89	150	150	50	150	72310948	10260165327	97824	66304	378404268	40.43	6128	3145	17754	39317	bag2	0.53	arthropoda_odb10	61.9	61.6	0.3	24.4	13.7	1013				Chordeumatida	Melogona	Melogona broelemanni
a_95	b9	Arthropoda	Diplopoda	Melogona voigti	1147011	Gr-Myr-00723	141.89	150	150	50	150	72310948	10260165327	108403	66304	391487929	40.97	6008	2998	18522	41568	bag3	0.53	arthropoda_odb10	64.3	63.6	0.7	23.4	12.3	1013				Chordeumatida	Melogona	Melogona broelemanni
a_96	b9	Arthropoda	Diplopoda	Glomeris hexasticha	1392624	Gr-Myr-00724	142.64	150	150	50	150	68071925	9709739966	8101	62991	53930132	39.46	10060	5776	1621	3371	bag1	1.96	arthropoda_odb10	45.3	45.2	0.1	7.2	47.5	1013				Glomerida	Glomeris	Glomeris oblongoguttata
a_96	b9	Arthropoda	Diplopoda	Glomeris hexasticha	1392624	Gr-Myr-00724	142.64	150	150	50	150	68071925	9709739966	69956	62991	220808849	38.49	4920	2386	11787	27993	bag2	1.96	arthropoda_odb10	76.9	76.6	0.3	11.5	11.6	1013				Glomerida	Glomeris	Glomeris oblongoguttata
a_96	b9	Arthropoda	Diplopoda	Glomeris hexasticha	1392624	Gr-Myr-00724	142.64	150	150	50	150	68071925	9709739966	80235	492633	245702234	40.02	5039	2340	12097	30109	bag3	1.96	arthropoda_odb10	81.6	80.5	1.1	10.6	7.8	1013				Glomerida	Glomeris	Glomeris oblongoguttata
MI_32	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_32	137.94	150	150	50	150	9692709	1337008487	8348	21744	11168611	40.01	1489	953	2082	4439	bag1	1.91	arachnida_odb10	21.1	20.6	0.5	9.7	69.2	2934	3	334558292	111519430.7	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
MI_32	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_32	137.94	150	150	50	150	9692709	1337008487	50336	21744	48994344	35.87	1005	700	14682	29403	bag2	1.91	arachnida_odb10	25.4	24.8	0.6	11.7	62.9	2934	2	1011549609	505774804.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
MI_32	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_32	137.94	150	150	50	150	9692709	1337008487	60847	21744	61453348	41.06	1057	717	17059	34889	bag3	1.91	arachnida_odb10	28.1	26.9	1.2	12.2	59.7	2934	2	1108500652	554250326	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
MI_42	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_42	131.61	150	150	50	150	10923455	1437607842	7833	20577	10187378	39.74	1429	925	1944	4182	bag1	2.61	arachnida_odb10	19.4	19.3	0.1	8.9	71.7	2934	4	416976806	104244201.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
MI_42	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_42	131.61	150	150	50	150	10923455	1437607842	50071	20577	47695575	35.08	976	688	14903	29548	bag2	2.61	arachnida_odb10	24	23.7	0.3	12.4	63.6	2934	2	1186029529	593014764.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
MI_42	b0	Arthropoda	Acari	Acrotritia duplicata	1979925	Metainvert_42	131.61	150	150	50	150	10923455	1437607842	52341	20577	49657195	35.78	970	685	15569	30912	bag3	2.61	arachnida_odb10	24.8	24.5	0.3	11.7	63.5	2934	2	1206719203	603359601.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
